the input_files/RomeoAndJuliet.txt:866
torch input_files/RomeoAndJuliet.txt:8
ambling input_files/RomeoAndJuliet.txt:1
mer input_files/RomeoAndJuliet.txt:62
dance input_files/RomeoAndJuliet.txt:5
believe input_files/RomeoAndJuliet.txt:4
dancing input_files/RomeoAndJuliet.txt:2
shoes input_files/RomeoAndJuliet.txt:2
nimble input_files/RomeoAndJuliet.txt:1
soles input_files/RomeoAndJuliet.txt:1
stakes input_files/RomeoAndJuliet.txt:1
borrow input_files/RomeoAndJuliet.txt:1
wings input_files/RomeoAndJuliet.txt:5
soar input_files/RomeoAndJuliet.txt:2
above input_files/RomeoAndJuliet.txt:10
sore input_files/RomeoAndJuliet.txt:1
enpierced input_files/RomeoAndJuliet.txt:1
shaft input_files/RomeoAndJuliet.txt:1
feathers input_files/RomeoAndJuliet.txt:1
pitch input_files/RomeoAndJuliet.txt:1
dull input_files/RomeoAndJuliet.txt:2
woe input_files/RomeoAndJuliet.txt:14
burthen input_files/RomeoAndJuliet.txt:3
sink input_files/RomeoAndJuliet.txt:2
tender input_files/RomeoAndJuliet.txt:7
thing input_files/RomeoAndJuliet.txt:13
rude input_files/RomeoAndJuliet.txt:5
boistrous input_files/RomeoAndJuliet.txt:1
pricks input_files/RomeoAndJuliet.txt:1
thorn input_files/RomeoAndJuliet.txt:1
prick input_files/RomeoAndJuliet.txt:2
pricking input_files/RomeoAndJuliet.txt:1
visage input_files/RomeoAndJuliet.txt:1
visor input_files/RomeoAndJuliet.txt:3
care input_files/RomeoAndJuliet.txt:6
curious input_files/RomeoAndJuliet.txt:1
quote input_files/RomeoAndJuliet.txt:1
deformities input_files/RomeoAndJuliet.txt:1
beetle input_files/RomeoAndJuliet.txt:1
blush input_files/RomeoAndJuliet.txt:3
sooner input_files/RomeoAndJuliet.txt:1
betake input_files/RomeoAndJuliet.txt:1
legs input_files/RomeoAndJuliet.txt:2
wantons input_files/RomeoAndJuliet.txt:2
tickle input_files/RomeoAndJuliet.txt:1
senseless input_files/RomeoAndJuliet.txt:1
rushes input_files/RomeoAndJuliet.txt:2
heels input_files/RomeoAndJuliet.txt:1
proverbd input_files/RomeoAndJuliet.txt:1
grandsire input_files/RomeoAndJuliet.txt:1
phrase input_files/RomeoAndJuliet.txt:5
candleholder input_files/RomeoAndJuliet.txt:1
game input_files/RomeoAndJuliet.txt:1
duns input_files/RomeoAndJuliet.txt:1
mouse input_files/RomeoAndJuliet.txt:3
constables input_files/RomeoAndJuliet.txt:1
dun input_files/RomeoAndJuliet.txt:1
mire input_files/RomeoAndJuliet.txt:1
sirreverence input_files/RomeoAndJuliet.txt:1
wherein input_files/RomeoAndJuliet.txt:1
stickst input_files/RomeoAndJuliet.txt:1
burn input_files/RomeoAndJuliet.txt:3
thats input_files/RomeoAndJuliet.txt:8
delay input_files/RomeoAndJuliet.txt:3
lights input_files/RomeoAndJuliet.txt:1
vain input_files/RomeoAndJuliet.txt:3
lamps input_files/RomeoAndJuliet.txt:1
meaning input_files/RomeoAndJuliet.txt:3
sits input_files/RomeoAndJuliet.txt:2
times input_files/RomeoAndJuliet.txt:8
wits input_files/RomeoAndJuliet.txt:5
going input_files/RomeoAndJuliet.txt:4
masque input_files/RomeoAndJuliet.txt:1
ask input_files/RomeoAndJuliet.txt:5
dreamt input_files/RomeoAndJuliet.txt:3
tonight input_files/RomeoAndJuliet.txt:15
dreamers input_files/RomeoAndJuliet.txt:1
asleep input_files/RomeoAndJuliet.txt:5
things input_files/RomeoAndJuliet.txt:10
queen input_files/RomeoAndJuliet.txt:1
mab input_files/RomeoAndJuliet.txt:3
fairies input_files/RomeoAndJuliet.txt:2
midwife input_files/RomeoAndJuliet.txt:1
shape input_files/RomeoAndJuliet.txt:5
agate input_files/RomeoAndJuliet.txt:1
forefinger input_files/RomeoAndJuliet.txt:1
alderman input_files/RomeoAndJuliet.txt:1
team input_files/RomeoAndJuliet.txt:1
little input_files/RomeoAndJuliet.txt:13
atomies input_files/RomeoAndJuliet.txt:1
athwart input_files/RomeoAndJuliet.txt:1
mens input_files/RomeoAndJuliet.txt:8
noses input_files/RomeoAndJuliet.txt:1
wagon input_files/RomeoAndJuliet.txt:1
spokes input_files/RomeoAndJuliet.txt:1
spinners input_files/RomeoAndJuliet.txt:1
grasshoppers input_files/RomeoAndJuliet.txt:1
traces input_files/RomeoAndJuliet.txt:1
smallest input_files/RomeoAndJuliet.txt:1
spiders input_files/RomeoAndJuliet.txt:1
web input_files/RomeoAndJuliet.txt:7
collars input_files/RomeoAndJuliet.txt:1
moonshines input_files/RomeoAndJuliet.txt:1
watry input_files/RomeoAndJuliet.txt:1
beams input_files/RomeoAndJuliet.txt:2
whip input_files/RomeoAndJuliet.txt:2
crickets input_files/RomeoAndJuliet.txt:1
bone input_files/RomeoAndJuliet.txt:2
lash input_files/RomeoAndJuliet.txt:1
film input_files/RomeoAndJuliet.txt:1
wagoner input_files/RomeoAndJuliet.txt:2
small input_files/RomeoAndJuliet.txt:5
greycoated input_files/RomeoAndJuliet.txt:1
gnat input_files/RomeoAndJuliet.txt:1
half input_files/RomeoAndJuliet.txt:5
round input_files/RomeoAndJuliet.txt:1
prickd input_files/RomeoAndJuliet.txt:1
lazy input_files/RomeoAndJuliet.txt:1
finger input_files/RomeoAndJuliet.txt:2
chariot input_files/RomeoAndJuliet.txt:1
empty input_files/RomeoAndJuliet.txt:4
hazelnut input_files/RomeoAndJuliet.txt:1
joiner input_files/RomeoAndJuliet.txt:1
squirrel input_files/RomeoAndJuliet.txt:1
grub input_files/RomeoAndJuliet.txt:1
coachmakers input_files/RomeoAndJuliet.txt:1
state input_files/RomeoAndJuliet.txt:10
gallops input_files/RomeoAndJuliet.txt:2
brains input_files/RomeoAndJuliet.txt:2
courtiers input_files/RomeoAndJuliet.txt:2
knees input_files/RomeoAndJuliet.txt:3
cursies input_files/RomeoAndJuliet.txt:1
lawyers input_files/RomeoAndJuliet.txt:1
fingers input_files/RomeoAndJuliet.txt:5
fees input_files/RomeoAndJuliet.txt:5
lips input_files/RomeoAndJuliet.txt:17
kisses input_files/RomeoAndJuliet.txt:6
oft input_files/RomeoAndJuliet.txt:4
angry input_files/RomeoAndJuliet.txt:1
blisters input_files/RomeoAndJuliet.txt:1
plagues input_files/RomeoAndJuliet.txt:1
because input_files/RomeoAndJuliet.txt:11
breaths input_files/RomeoAndJuliet.txt:1
sweetmeats input_files/RomeoAndJuliet.txt:1
tainted input_files/RomeoAndJuliet.txt:1
sometime input_files/RomeoAndJuliet.txt:2
nose input_files/RomeoAndJuliet.txt:2
dreams input_files/RomeoAndJuliet.txt:5
smelling input_files/RomeoAndJuliet.txt:1
tithepigs input_files/RomeoAndJuliet.txt:1
tail input_files/RomeoAndJuliet.txt:1
tickling input_files/RomeoAndJuliet.txt:1
parsons input_files/RomeoAndJuliet.txt:1
benefice input_files/RomeoAndJuliet.txt:1
sometimes input_files/RomeoAndJuliet.txt:3
driveth input_files/RomeoAndJuliet.txt:1
soldiers input_files/RomeoAndJuliet.txt:2
cutting input_files/RomeoAndJuliet.txt:1
foreign input_files/RomeoAndJuliet.txt:1
throats input_files/RomeoAndJuliet.txt:1
breaches input_files/RomeoAndJuliet.txt:1
ambuscadoes input_files/RomeoAndJuliet.txt:1
spanish input_files/RomeoAndJuliet.txt:1
blades input_files/RomeoAndJuliet.txt:1
healths input_files/RomeoAndJuliet.txt:1
fadom input_files/RomeoAndJuliet.txt:1
anon input_files/RomeoAndJuliet.txt:8
drums input_files/RomeoAndJuliet.txt:1
ear input_files/RomeoAndJuliet.txt:7
starts input_files/RomeoAndJuliet.txt:2
wakes input_files/RomeoAndJuliet.txt:2
frighted input_files/RomeoAndJuliet.txt:1
swears input_files/RomeoAndJuliet.txt:1
prayer input_files/RomeoAndJuliet.txt:1
sleeps input_files/RomeoAndJuliet.txt:2
plats input_files/RomeoAndJuliet.txt:1
manes input_files/RomeoAndJuliet.txt:1
horses input_files/RomeoAndJuliet.txt:2
bakes input_files/RomeoAndJuliet.txt:1
elflocks input_files/RomeoAndJuliet.txt:1
foul input_files/RomeoAndJuliet.txt:4
sluttish input_files/RomeoAndJuliet.txt:1
hairs input_files/RomeoAndJuliet.txt:1
untangled input_files/RomeoAndJuliet.txt:1
misfortune input_files/RomeoAndJuliet.txt:1
bodes input_files/RomeoAndJuliet.txt:1
hag input_files/RomeoAndJuliet.txt:1
backs input_files/RomeoAndJuliet.txt:1
presses input_files/RomeoAndJuliet.txt:2
learns input_files/RomeoAndJuliet.txt:1
carriage input_files/RomeoAndJuliet.txt:1
talkst input_files/RomeoAndJuliet.txt:1
children input_files/RomeoAndJuliet.txt:2
idle input_files/RomeoAndJuliet.txt:1
begot input_files/RomeoAndJuliet.txt:1
fantasy input_files/RomeoAndJuliet.txt:1
thin input_files/RomeoAndJuliet.txt:1
substance input_files/RomeoAndJuliet.txt:3
inconstant input_files/RomeoAndJuliet.txt:3
wind input_files/RomeoAndJuliet.txt:3
wooes input_files/RomeoAndJuliet.txt:1
frozen input_files/RomeoAndJuliet.txt:1
bosom input_files/RomeoAndJuliet.txt:7
north input_files/RomeoAndJuliet.txt:2
angerd input_files/RomeoAndJuliet.txt:1
puffs input_files/RomeoAndJuliet.txt:1
thence input_files/RomeoAndJuliet.txt:2
dewdropping input_files/RomeoAndJuliet.txt:1
south input_files/RomeoAndJuliet.txt:1
ourselves input_files/RomeoAndJuliet.txt:1
late input_files/RomeoAndJuliet.txt:12
misgives input_files/RomeoAndJuliet.txt:1
consequence input_files/RomeoAndJuliet.txt:1
hanging input_files/RomeoAndJuliet.txt:1
revels input_files/RomeoAndJuliet.txt:1
expire input_files/RomeoAndJuliet.txt:1
term input_files/RomeoAndJuliet.txt:2
despised input_files/RomeoAndJuliet.txt:2
closd input_files/RomeoAndJuliet.txt:3
vile input_files/RomeoAndJuliet.txt:8
untimely input_files/RomeoAndJuliet.txt:5
steerage input_files/RomeoAndJuliet.txt:1
course input_files/RomeoAndJuliet.txt:5
direct input_files/RomeoAndJuliet.txt:2
sail input_files/RomeoAndJuliet.txt:3
drum input_files/RomeoAndJuliet.txt:1
march input_files/RomeoAndJuliet.txt:1
v input_files/RomeoAndJuliet.txt:5
napkins input_files/RomeoAndJuliet.txt:1
potpan input_files/RomeoAndJuliet.txt:2
helps input_files/RomeoAndJuliet.txt:2
shift input_files/RomeoAndJuliet.txt:1
trencher input_files/RomeoAndJuliet.txt:2
scrape input_files/RomeoAndJuliet.txt:1
manners input_files/RomeoAndJuliet.txt:2
unwashd input_files/RomeoAndJuliet.txt:1
joinstools input_files/RomeoAndJuliet.txt:1
courtcubbert input_files/RomeoAndJuliet.txt:1
plate input_files/RomeoAndJuliet.txt:1
save input_files/RomeoAndJuliet.txt:3
marchpane input_files/RomeoAndJuliet.txt:1
porter input_files/RomeoAndJuliet.txt:1
grindstone input_files/RomeoAndJuliet.txt:1
nell input_files/RomeoAndJuliet.txt:1
anthony input_files/RomeoAndJuliet.txt:1
boy input_files/RomeoAndJuliet.txt:14
ready input_files/RomeoAndJuliet.txt:5
lookd input_files/RomeoAndJuliet.txt:2
cheerly input_files/RomeoAndJuliet.txt:2
boys input_files/RomeoAndJuliet.txt:1
brisk input_files/RomeoAndJuliet.txt:1
longer input_files/RomeoAndJuliet.txt:5
liver input_files/RomeoAndJuliet.txt:1
toes input_files/RomeoAndJuliet.txt:1
unplagud input_files/RomeoAndJuliet.txt:1
corns input_files/RomeoAndJuliet.txt:2
bout input_files/RomeoAndJuliet.txt:1
ha input_files/RomeoAndJuliet.txt:6
mistresses input_files/RomeoAndJuliet.txt:1
deny input_files/RomeoAndJuliet.txt:4
dainty input_files/RomeoAndJuliet.txt:1
swear input_files/RomeoAndJuliet.txt:9
worn input_files/RomeoAndJuliet.txt:4
whispering input_files/RomeoAndJuliet.txt:1
tale input_files/RomeoAndJuliet.txt:6
play input_files/RomeoAndJuliet.txt:8
hall input_files/RomeoAndJuliet.txt:2
room input_files/RomeoAndJuliet.txt:2
girls input_files/RomeoAndJuliet.txt:1
music input_files/RomeoAndJuliet.txt:9
plays input_files/RomeoAndJuliet.txt:2
knaves input_files/RomeoAndJuliet.txt:1
tables input_files/RomeoAndJuliet.txt:1
grown input_files/RomeoAndJuliet.txt:3
hot input_files/RomeoAndJuliet.txt:7
unlookdfor input_files/RomeoAndJuliet.txt:1
sport input_files/RomeoAndJuliet.txt:2
sit input_files/RomeoAndJuliet.txt:7
past input_files/RomeoAndJuliet.txt:7
ist input_files/RomeoAndJuliet.txt:5
mask input_files/RomeoAndJuliet.txt:2
byr input_files/RomeoAndJuliet.txt:1
thirty input_files/RomeoAndJuliet.txt:3
nuptial input_files/RomeoAndJuliet.txt:1
lucentio input_files/RomeoAndJuliet.txt:1
pentecost input_files/RomeoAndJuliet.txt:1
fiveandtwenty input_files/RomeoAndJuliet.txt:1
maskd input_files/RomeoAndJuliet.txt:1
elder input_files/RomeoAndJuliet.txt:1
ward input_files/RomeoAndJuliet.txt:1
ago input_files/RomeoAndJuliet.txt:2
enrich input_files/RomeoAndJuliet.txt:1
hand input_files/RomeoAndJuliet.txt:25
yonder input_files/RomeoAndJuliet.txt:6
knight input_files/RomeoAndJuliet.txt:2
torches input_files/RomeoAndJuliet.txt:2
hangs input_files/RomeoAndJuliet.txt:2
cheek input_files/RomeoAndJuliet.txt:6
jewel input_files/RomeoAndJuliet.txt:1
ethiops input_files/RomeoAndJuliet.txt:1
dear input_files/RomeoAndJuliet.txt:26
snowy input_files/RomeoAndJuliet.txt:1
dove input_files/RomeoAndJuliet.txt:2
trooping input_files/RomeoAndJuliet.txt:1
crows input_files/RomeoAndJuliet.txt:1
fellows input_files/RomeoAndJuliet.txt:4
watch input_files/RomeoAndJuliet.txt:22
touching input_files/RomeoAndJuliet.txt:1
blessed input_files/RomeoAndJuliet.txt:5
forswear input_files/RomeoAndJuliet.txt:1
fetch input_files/RomeoAndJuliet.txt:7
rapier input_files/RomeoAndJuliet.txt:2
dares input_files/RomeoAndJuliet.txt:4
hither input_files/RomeoAndJuliet.txt:12
coverd input_files/RomeoAndJuliet.txt:1
antic input_files/RomeoAndJuliet.txt:2
fleer input_files/RomeoAndJuliet.txt:1
solemnity input_files/RomeoAndJuliet.txt:3
stock input_files/RomeoAndJuliet.txt:1
kin input_files/RomeoAndJuliet.txt:1
sin input_files/RomeoAndJuliet.txt:12
wherefore input_files/RomeoAndJuliet.txt:5
storm input_files/RomeoAndJuliet.txt:2
alone input_files/RomeoAndJuliet.txt:18
bears input_files/RomeoAndJuliet.txt:2
portly input_files/RomeoAndJuliet.txt:1
truth input_files/RomeoAndJuliet.txt:5
brags input_files/RomeoAndJuliet.txt:2
virtuous input_files/RomeoAndJuliet.txt:3
wellgovernd input_files/RomeoAndJuliet.txt:1
youth input_files/RomeoAndJuliet.txt:6
wealth input_files/RomeoAndJuliet.txt:2
town input_files/RomeoAndJuliet.txt:4
disparagement input_files/RomeoAndJuliet.txt:1
respect input_files/RomeoAndJuliet.txt:2
presence input_files/RomeoAndJuliet.txt:2
frowns input_files/RomeoAndJuliet.txt:1
illbeseeming input_files/RomeoAndJuliet.txt:2
semblance input_files/RomeoAndJuliet.txt:1
fits input_files/RomeoAndJuliet.txt:1
endure input_files/RomeoAndJuliet.txt:2
endurd input_files/RomeoAndJuliet.txt:1
goodman input_files/RomeoAndJuliet.txt:1
youll input_files/RomeoAndJuliet.txt:4
cockahoop input_files/RomeoAndJuliet.txt:1
shame input_files/RomeoAndJuliet.txt:12
saucy input_files/RomeoAndJuliet.txt:2
trick input_files/RomeoAndJuliet.txt:1
chance input_files/RomeoAndJuliet.txt:3
scathe input_files/RomeoAndJuliet.txt:1
contrary input_files/RomeoAndJuliet.txt:3
princox input_files/RomeoAndJuliet.txt:1
patience input_files/RomeoAndJuliet.txt:5
perforce input_files/RomeoAndJuliet.txt:2
wilful input_files/RomeoAndJuliet.txt:1
meeting input_files/RomeoAndJuliet.txt:1
tremble input_files/RomeoAndJuliet.txt:2
different input_files/RomeoAndJuliet.txt:3
greeting input_files/RomeoAndJuliet.txt:2
withdraw input_files/RomeoAndJuliet.txt:3
intrusion input_files/RomeoAndJuliet.txt:1
seeming input_files/RomeoAndJuliet.txt:3
convert input_files/RomeoAndJuliet.txt:2
bittrest input_files/RomeoAndJuliet.txt:1
profane input_files/RomeoAndJuliet.txt:1
unworthiest input_files/RomeoAndJuliet.txt:1
holy input_files/RomeoAndJuliet.txt:21
shrine input_files/RomeoAndJuliet.txt:1
fine input_files/RomeoAndJuliet.txt:5
blushing input_files/RomeoAndJuliet.txt:1
pilgrims input_files/RomeoAndJuliet.txt:2
smooth input_files/RomeoAndJuliet.txt:2
touch input_files/RomeoAndJuliet.txt:3
pilgrim input_files/RomeoAndJuliet.txt:2
mannerly input_files/RomeoAndJuliet.txt:1
devotion input_files/RomeoAndJuliet.txt:2
saints input_files/RomeoAndJuliet.txt:3
palm input_files/RomeoAndJuliet.txt:2
palmers input_files/RomeoAndJuliet.txt:2
prayr input_files/RomeoAndJuliet.txt:1
saint input_files/RomeoAndJuliet.txt:9
grant input_files/RomeoAndJuliet.txt:2
lest input_files/RomeoAndJuliet.txt:4
prayers input_files/RomeoAndJuliet.txt:3
sake input_files/RomeoAndJuliet.txt:4
effect input_files/RomeoAndJuliet.txt:2
trespass input_files/RomeoAndJuliet.txt:1
sweetly input_files/RomeoAndJuliet.txt:1
craves input_files/RomeoAndJuliet.txt:3
bachelor input_files/RomeoAndJuliet.txt:1
talkd input_files/RomeoAndJuliet.txt:3
chinks input_files/RomeoAndJuliet.txt:1
account input_files/RomeoAndJuliet.txt:2
unrest input_files/RomeoAndJuliet.txt:1
prepare input_files/RomeoAndJuliet.txt:7
trifling input_files/RomeoAndJuliet.txt:1
foolish input_files/RomeoAndJuliet.txt:2
banquet input_files/RomeoAndJuliet.txt:1
een input_files/RomeoAndJuliet.txt:2
thank input_files/RomeoAndJuliet.txt:6
honest input_files/RomeoAndJuliet.txt:7
fay input_files/RomeoAndJuliet.txt:1
waxes input_files/RomeoAndJuliet.txt:1
yond input_files/RomeoAndJuliet.txt:5
heir input_files/RomeoAndJuliet.txt:5
tiberio input_files/RomeoAndJuliet.txt:1
whats input_files/RomeoAndJuliet.txt:8
door input_files/RomeoAndJuliet.txt:3
petruchio input_files/RomeoAndJuliet.txt:1
follows input_files/RomeoAndJuliet.txt:1
name input_files/RomeoAndJuliet.txt:25
wedding input_files/RomeoAndJuliet.txt:5
enemy input_files/RomeoAndJuliet.txt:6
sprung input_files/RomeoAndJuliet.txt:1
unknown input_files/RomeoAndJuliet.txt:1
prodigious input_files/RomeoAndJuliet.txt:1
birth input_files/RomeoAndJuliet.txt:4
loathed input_files/RomeoAndJuliet.txt:2
rhyme input_files/RomeoAndJuliet.txt:2
learnt input_files/RomeoAndJuliet.txt:2
dancd input_files/RomeoAndJuliet.txt:1
strangers input_files/RomeoAndJuliet.txt:1
desire input_files/RomeoAndJuliet.txt:2
deathbed input_files/RomeoAndJuliet.txt:1
affection input_files/RomeoAndJuliet.txt:2
gapes input_files/RomeoAndJuliet.txt:1
groand input_files/RomeoAndJuliet.txt:1
matchd input_files/RomeoAndJuliet.txt:2
belovd input_files/RomeoAndJuliet.txt:1
bewitched input_files/RomeoAndJuliet.txt:1
charm input_files/RomeoAndJuliet.txt:1
looks input_files/RomeoAndJuliet.txt:7
complain input_files/RomeoAndJuliet.txt:1
steal input_files/RomeoAndJuliet.txt:2
bait input_files/RomeoAndJuliet.txt:1
hooks input_files/RomeoAndJuliet.txt:1
held input_files/RomeoAndJuliet.txt:2
breathe input_files/RomeoAndJuliet.txt:1
vows input_files/RomeoAndJuliet.txt:1
meet input_files/RomeoAndJuliet.txt:9
beloved input_files/RomeoAndJuliet.txt:1
passion input_files/RomeoAndJuliet.txt:3
power input_files/RomeoAndJuliet.txt:5
tempring input_files/RomeoAndJuliet.txt:1
extremities input_files/RomeoAndJuliet.txt:1
extreme input_files/RomeoAndJuliet.txt:1
lane input_files/RomeoAndJuliet.txt:1
orchard input_files/RomeoAndJuliet.txt:7
forward input_files/RomeoAndJuliet.txt:1
centre input_files/RomeoAndJuliet.txt:1
climbs input_files/RomeoAndJuliet.txt:1
leaps input_files/RomeoAndJuliet.txt:1
stoln input_files/RomeoAndJuliet.txt:2
ran input_files/RomeoAndJuliet.txt:4
leapt input_files/RomeoAndJuliet.txt:1
conjure input_files/RomeoAndJuliet.txt:4
humours input_files/RomeoAndJuliet.txt:1
appear input_files/RomeoAndJuliet.txt:4
likeness input_files/RomeoAndJuliet.txt:3
sigh input_files/RomeoAndJuliet.txt:1
satisfied input_files/RomeoAndJuliet.txt:5
cry input_files/RomeoAndJuliet.txt:4
pronounce input_files/RomeoAndJuliet.txt:3
gossip input_files/RomeoAndJuliet.txt:1
venus input_files/RomeoAndJuliet.txt:2
nickname input_files/RomeoAndJuliet.txt:1
purblind input_files/RomeoAndJuliet.txt:1
adam input_files/RomeoAndJuliet.txt:1
shot input_files/RomeoAndJuliet.txt:3
trim input_files/RomeoAndJuliet.txt:2
king input_files/RomeoAndJuliet.txt:2
cophetua input_files/RomeoAndJuliet.txt:1
beggar input_files/RomeoAndJuliet.txt:1
heareth input_files/RomeoAndJuliet.txt:1
stirreth input_files/RomeoAndJuliet.txt:1
moveth input_files/RomeoAndJuliet.txt:1
ape input_files/RomeoAndJuliet.txt:1
rosalines input_files/RomeoAndJuliet.txt:1
high input_files/RomeoAndJuliet.txt:8
forehead input_files/RomeoAndJuliet.txt:1
scarlet input_files/RomeoAndJuliet.txt:2
lip input_files/RomeoAndJuliet.txt:1
leg input_files/RomeoAndJuliet.txt:2
quivering input_files/RomeoAndJuliet.txt:1
thigh input_files/RomeoAndJuliet.txt:1
demesnes input_files/RomeoAndJuliet.txt:2
adjacent input_files/RomeoAndJuliet.txt:1
anger input_files/RomeoAndJuliet.txt:4
twould input_files/RomeoAndJuliet.txt:1
raise input_files/RomeoAndJuliet.txt:4
spirit input_files/RomeoAndJuliet.txt:4
circle input_files/RomeoAndJuliet.txt:1
strange input_files/RomeoAndJuliet.txt:6
nature input_files/RomeoAndJuliet.txt:4
letting input_files/RomeoAndJuliet.txt:1
conjurd input_files/RomeoAndJuliet.txt:1
invocation input_files/RomeoAndJuliet.txt:1
hid input_files/RomeoAndJuliet.txt:3
trees input_files/RomeoAndJuliet.txt:1
consorted input_files/RomeoAndJuliet.txt:1
humorous input_files/RomeoAndJuliet.txt:1
befits input_files/RomeoAndJuliet.txt:1
medlar input_files/RomeoAndJuliet.txt:1
tree input_files/RomeoAndJuliet.txt:4
kind input_files/RomeoAndJuliet.txt:7
fruit input_files/RomeoAndJuliet.txt:1
medlars input_files/RomeoAndJuliet.txt:1
open input_files/RomeoAndJuliet.txt:5
et input_files/RomeoAndJuliet.txt:1
cetera input_files/RomeoAndJuliet.txt:1
poprin input_files/RomeoAndJuliet.txt:1
pear input_files/RomeoAndJuliet.txt:1
trucklebed input_files/RomeoAndJuliet.txt:1
fieldbed input_files/RomeoAndJuliet.txt:1
jests input_files/RomeoAndJuliet.txt:1
scars input_files/RomeoAndJuliet.txt:1
wound input_files/RomeoAndJuliet.txt:3
breaks input_files/RomeoAndJuliet.txt:1
arise input_files/RomeoAndJuliet.txt:4
kill input_files/RomeoAndJuliet.txt:10
moon input_files/RomeoAndJuliet.txt:4
pale input_files/RomeoAndJuliet.txt:11
vestal input_files/RomeoAndJuliet.txt:2
livery input_files/RomeoAndJuliet.txt:2
green input_files/RomeoAndJuliet.txt:4
wear input_files/RomeoAndJuliet.txt:4
knew input_files/RomeoAndJuliet.txt:3
speaks input_files/RomeoAndJuliet.txt:6
says input_files/RomeoAndJuliet.txt:10
discourses input_files/RomeoAndJuliet.txt:2
answer input_files/RomeoAndJuliet.txt:10
bold input_files/RomeoAndJuliet.txt:4
fairest input_files/RomeoAndJuliet.txt:1
business input_files/RomeoAndJuliet.txt:4
entreat input_files/RomeoAndJuliet.txt:2
twinkle input_files/RomeoAndJuliet.txt:1
spheres input_files/RomeoAndJuliet.txt:1
return input_files/RomeoAndJuliet.txt:8
brightness input_files/RomeoAndJuliet.txt:1
lamp input_files/RomeoAndJuliet.txt:1
region input_files/RomeoAndJuliet.txt:1
stream input_files/RomeoAndJuliet.txt:1
birds input_files/RomeoAndJuliet.txt:2
sing input_files/RomeoAndJuliet.txt:2
leans input_files/RomeoAndJuliet.txt:1
glove input_files/RomeoAndJuliet.txt:1
angel input_files/RomeoAndJuliet.txt:1
glorious input_files/RomeoAndJuliet.txt:1
winged input_files/RomeoAndJuliet.txt:1
messenger input_files/RomeoAndJuliet.txt:2
whiteupturned input_files/RomeoAndJuliet.txt:1
wondring input_files/RomeoAndJuliet.txt:1
mortals input_files/RomeoAndJuliet.txt:2
gaze input_files/RomeoAndJuliet.txt:3
bestrides input_files/RomeoAndJuliet.txt:1
lazypacing input_files/RomeoAndJuliet.txt:1
sails input_files/RomeoAndJuliet.txt:1
refuse input_files/RomeoAndJuliet.txt:1
thyself input_files/RomeoAndJuliet.txt:7
arm input_files/RomeoAndJuliet.txt:7
belonging input_files/RomeoAndJuliet.txt:1
rose input_files/RomeoAndJuliet.txt:1
smell input_files/RomeoAndJuliet.txt:1
retain input_files/RomeoAndJuliet.txt:1
perfection input_files/RomeoAndJuliet.txt:1
owes input_files/RomeoAndJuliet.txt:1
doff input_files/RomeoAndJuliet.txt:1
baptizd input_files/RomeoAndJuliet.txt:1
henceforth input_files/RomeoAndJuliet.txt:2
bescreend input_files/RomeoAndJuliet.txt:1
stumblest input_files/RomeoAndJuliet.txt:1
hateful input_files/RomeoAndJuliet.txt:4
tear input_files/RomeoAndJuliet.txt:5
drunk input_files/RomeoAndJuliet.txt:3
hundred input_files/RomeoAndJuliet.txt:3
words input_files/RomeoAndJuliet.txt:8
tongues input_files/RomeoAndJuliet.txt:2
utterance input_files/RomeoAndJuliet.txt:1
sound input_files/RomeoAndJuliet.txt:13
dislike input_files/RomeoAndJuliet.txt:1
camst input_files/RomeoAndJuliet.txt:2
walls input_files/RomeoAndJuliet.txt:3
climb input_files/RomeoAndJuliet.txt:2
considering input_files/RomeoAndJuliet.txt:1
oerperch input_files/RomeoAndJuliet.txt:1
stony input_files/RomeoAndJuliet.txt:2
limits input_files/RomeoAndJuliet.txt:1
attempt input_files/RomeoAndJuliet.txt:1
murther input_files/RomeoAndJuliet.txt:6
alack input_files/RomeoAndJuliet.txt:11
peril input_files/RomeoAndJuliet.txt:1
twenty input_files/RomeoAndJuliet.txt:9
enmity input_files/RomeoAndJuliet.txt:2
cloak input_files/RomeoAndJuliet.txt:1
ended input_files/RomeoAndJuliet.txt:2
prorogued input_files/RomeoAndJuliet.txt:1
wanting input_files/RomeoAndJuliet.txt:2
direction input_files/RomeoAndJuliet.txt:1
foundst input_files/RomeoAndJuliet.txt:1
prompt input_files/RomeoAndJuliet.txt:1
enquire input_files/RomeoAndJuliet.txt:2
lent input_files/RomeoAndJuliet.txt:4
pilot input_files/RomeoAndJuliet.txt:2
vast input_files/RomeoAndJuliet.txt:1
shore input_files/RomeoAndJuliet.txt:1
washd input_files/RomeoAndJuliet.txt:3
farthest input_files/RomeoAndJuliet.txt:1
adventure input_files/RomeoAndJuliet.txt:2
merchandise input_files/RomeoAndJuliet.txt:1
maiden input_files/RomeoAndJuliet.txt:1
bepaint input_files/RomeoAndJuliet.txt:1
fain input_files/RomeoAndJuliet.txt:5
dwell input_files/RomeoAndJuliet.txt:3
form input_files/RomeoAndJuliet.txt:9
compliment input_files/RomeoAndJuliet.txt:1
swearst input_files/RomeoAndJuliet.txt:1
mayst input_files/RomeoAndJuliet.txt:3
false input_files/RomeoAndJuliet.txt:2
